"season","seasonType","week","poll","rank","school","conference","points","year","points_missing"
2018,"regular",4,"AP Top 25",10,"Washington","Pac-12",947,2018,0
2018,"regular",4,"AP Top 25",25,"BYU","FBS Independents",75,2018,0
2018,"regular",4,"AP Top 25",9,"Auburn","SEC",958,2018,0
2018,"regular",4,"AP Top 25",6,"LSU","SEC",1241,2018,0
2018,"regular",4,"AP Top 25",16,"UCF","American Athletic",556,2018,0
2018,"regular",4,"AP Top 25",1,"Alabama","SEC",1521,2018,0
2018,"regular",4,"AP Top 25",14,"Mississippi State","SEC",790,2018,0
2018,"regular",4,"AP Top 25",23,"Boston College","ACC",130,2018,0
2018,"regular",4,"AP Top 25",3,"Clemson","ACC",1405,2018,0
2018,"regular",4,"AP Top 25",13,"Virginia Tech","ACC",816,2018,0
2018,"regular",4,"AP Top 25",21,"Miami","ACC",362,2018,0
2018,"regular",4,"AP Top 25",22,"Texas A&M","SEC",193,2018,0
2018,"regular",4,"AP Top 25",4,"Ohio State","Big Ten",1357,2018,0
2018,"regular",4,"AP Top 25",24,"Michigan State","Big Ten",86,2018,0
2018,"regular",4,"AP Top 25",19,"Michigan","Big Ten",448,2018,0
2018,"regular",4,"AP Top 25",10,"Penn State","Big Ten",947,2018,0
2018,"regular",4,"AP Top 25",18,"Wisconsin","Big Ten",486,2018,0
2018,"regular",4,"AP Top 25",5,"Oklahoma","Big 12",1283,2018,0
2018,"regular",4,"FCS Coaches Poll",5,"Kennesaw State","Big South",526,2018,0
2018,"regular",4,"FCS Coaches Poll",21,"Austin Peay","OVC",114,2018,0
2018,"regular",4,"FCS Coaches Poll",12,"Elon","CAA",352,2018,0
2018,"regular",4,"FCS Coaches Poll",19,"Stony Brook","CAA",176,2018,0
2018,"regular",4,"FCS Coaches Poll",14,"Villanova","CAA",254,2018,0
2018,"regular",4,"FCS Coaches Poll",16,"Maine","CAA",248,2018,0
2018,"regular",4,"FCS Coaches Poll",23,"Rhode Island","CAA",83,2018,0
2018,"regular",4,"FCS Coaches Poll",2,"James Madison","CAA",622,2018,0
2018,"regular",4,"FCS Coaches Poll",13,"Central Arkansas","Southland",322,2018,0
2018,"regular",4,"FCS Coaches Poll",9,"Jacksonville State","OVC",441,2018,0
2018,"regular",4,"FCS Coaches Poll",11,"Sam Houston","Southland",386,2018,0
2018,"regular",4,"FCS Coaches Poll",4,"North Carolina A&T","MEAC",566,2018,0
2018,"regular",4,"FCS Coaches Poll",24,"Colgate","Patriot",64,2018,0
2018,"regular",4,"FCS Coaches Poll",25,"UC Davis","Big Sky",47,2018,0
2018,"regular",4,"FCS Coaches Poll",6,"Eastern Washington","Big Sky",498,2018,0
2018,"regular",4,"FCS Coaches Poll",20,"Montana","Big Sky",115,2018,0
2018,"regular",4,"FCS Coaches Poll",8,"Weber State","Big Sky",457,2018,0
2018,"regular",4,"FCS Coaches Poll",1,"North Dakota State","MVFC",650,2018,0
2018,"regular",4,"FCS Coaches Poll",3,"South Dakota State","MVFC",598,2018,0
2018,"regular",4,"FCS Coaches Poll",15,"Illinois State","MVFC",253,2018,0
2018,"regular",4,"FCS Coaches Poll",22,"Northern Iowa","MVFC",88,2018,0
2018,"regular",4,"FCS Coaches Poll",17,"Samford","Southern",236,2018,0
2018,"regular",4,"FCS Coaches Poll",6,"Wofford","Southern",498,2018,0
2018,"regular",4,"FCS Coaches Poll",10,"McNeese","Southland",393,2018,0
2018,"regular",4,"FCS Coaches Poll",18,"Nicholls","Southland",228,2018,0
2018,"regular",4,"AFCA Division II Coaches Poll",14,"Central Washington","Great Northwest",397,2018,0
2018,"regular",4,"AFCA Division II Coaches Poll",11,"West Florida","Gulf South",433,2018,0
2018,"regular",4,"AFCA Division II Coaches Poll",9,"East Texas A&M","Lone Star",444,2018,0
2018,"regular",4,"AFCA Division II Coaches Poll",8,"Minnesota Duluth","Northern Sun",526,2018,0
2018,"regular",4,"AFCA Division II Coaches Poll",25,"Tarleton State","Lone Star",80,2018,0
2018,"regular",4,"AFCA Division II Coaches Poll",1,"Minnesota State Mankato","Northern Sun",811,2018,0
2018,"regular",4,"AFCA Division II Coaches Poll",12,"West Chester","Pennsylvania State Athletic",430,2018,0
2018,"regular",4,"AFCA Division II Coaches Poll",2,"Indiana-Pennsylvania","Pennsylvania State Athletic",761,2018,0
2018,"regular",4,"AFCA Division II Coaches Poll",24,"Colorado Mesa","Rocky Mountain",89,2018,0
2018,"regular",4,"AFCA Division II Coaches Poll",14,"Colorado School Of Mines","Rocky Mountain",397,2018,0
2018,"regular",4,"AFCA Division II Coaches Poll",16,"CSU Pueblo","Rocky Mountain",382,2018,0
2018,"regular",4,"AFCA Division II Coaches Poll",4,"Ferris State","GLIAC",734,2018,0
2018,"regular",4,"AFCA Division II Coaches Poll",3,"Grand Valley State University","GLIAC",746,2018,0
2018,"regular",4,"AFCA Division II Coaches Poll",20,"Harding University","Great American",223,2018,0
2018,"regular",4,"AFCA Division II Coaches Poll",7,"Ouachita Baptist","Great American",593,2018,0
2018,"regular",4,"AFCA Division II Coaches Poll",19,"Southern Arkansas","Great American",250,2018,0
2018,"regular",4,"AFCA Division II Coaches Poll",22,"Indianapolis","Great Lakes",105,2018,0
2018,"regular",4,"AFCA Division II Coaches Poll",13,"Valdosta State","Gulf South",421,2018,0
2018,"regular",4,"AFCA Division II Coaches Poll",21,"West Alabama","Gulf South",134,2018,0
2018,"regular",4,"AFCA Division II Coaches Poll",5,"Midwestern State","Lone Star",706,2018,0
2018,"regular",4,"AFCA Division II Coaches Poll",18,"Fort Hays State","Mid America",267,2018,0
2018,"regular",4,"AFCA Division II Coaches Poll",17,"Northwest Missouri St","Mid America",331,2018,0
2018,"regular",4,"AFCA Division II Coaches Poll",10,"Pittsburg St","Mid America",442,2018,0
2018,"regular",4,"AFCA Division II Coaches Poll",23,"Notre Dame College","Mountain East",99,2018,0
2018,"regular",4,"AFCA Division II Coaches Poll",6,"West Georgia","Gulf South",656,2018,0
2018,"regular",3,"Coaches Poll",8,"Notre Dame","FBS Independents",1029,2018,0
2018,"regular",3,"Coaches Poll",3,"Georgia","SEC",1437,2018,0
2018,"regular",3,"Coaches Poll",19,"Oklahoma State","Big 12",325,2018,0
2018,"regular",3,"Coaches Poll",14,"TCU","Big 12",743,2018,0
2018,"regular",3,"Coaches Poll",15,"West Virginia","Big 12",727,2018,0
2018,"regular",3,"Coaches Poll",23,"Oregon","Pac-12",255,2018,0
2018,"regular",3,"Coaches Poll",9,"Stanford","Pac-12",1010,2018,0
2018,"regular",3,"Coaches Poll",12,"Washington","Pac-12",852,2018,0
2018,"regular",3,"Coaches Poll",21,"USC","Pac-12",295,2018,0
2018,"regular",3,"Coaches Poll",7,"Auburn","SEC",1221,2018,0
2018,"regular",3,"Coaches Poll",13,"LSU","SEC",850,2018,0
2018,"regular",3,"Coaches Poll",25,"Arizona State","Pac-12",92,2018,0
2018,"regular",3,"Coaches Poll",18,"UCF","American Athletic",438,2018,0
2018,"regular",3,"Coaches Poll",1,"Alabama","SEC",1571,2018,0
2018,"regular",3,"Coaches Poll",16,"Mississippi State","SEC",650,2018,0
2018,"regular",3,"Coaches Poll",2,"Clemson","ACC",1481,2018,0
2018,"regular",3,"Coaches Poll",11,"Virginia Tech","ACC",862,2018,0
2018,"regular",3,"Coaches Poll",20,"Miami","ACC",296,2018,0
2018,"regular",3,"Coaches Poll",17,"Boise State","Mountain West",507,2018,0
2018,"regular",3,"Coaches Poll",4,"Ohio State","Big Ten",1391,2018,0
2018,"regular",3,"Coaches Poll",24,"Michigan State","Big Ten",152,2018,0
2018,"regular",3,"Coaches Poll",22,"Michigan","Big Ten",270,2018,0
2018,"regular",3,"Coaches Poll",10,"Penn State","Big Ten",930,2018,0
2018,"regular",3,"Coaches Poll",6,"Wisconsin","Big Ten",1252,2018,0
2018,"regular",3,"Coaches Poll",5,"Oklahoma","Big 12",1319,2018,0
2018,"regular",3,"AP Top 25",8,"Notre Dame","FBS Independents",1022,2018,0
2018,"regular",3,"AP Top 25",3,"Georgia","SEC",1407,2018,0
2018,"regular",3,"AP Top 25",24,"Oklahoma State","Big 12",119,2018,0
2018,"regular",3,"AP Top 25",15,"TCU","Big 12",678,2018,0
2018,"regular",3,"AP Top 25",14,"West Virginia","Big 12",793,2018,0
2018,"regular",3,"AP Top 25",20,"Oregon","Pac-12",301,2018,0
2018,"regular",3,"AP Top 25",9,"Stanford","Pac-12",992,2018,0
2018,"regular",3,"AP Top 25",10,"Washington","Pac-12",884,2018,0
2018,"regular",3,"AP Top 25",22,"USC","Pac-12",250,2018,0
2018,"regular",3,"AP Top 25",7,"Auburn","SEC",1224,2018,0
2018,"regular",3,"AP Top 25",12,"LSU","SEC",830,2018,0
2018,"regular",3,"AP Top 25",23,"Arizona State","Pac-12",139,2018,0
2018,"regular",3,"AP Top 25",18,"UCF","American Athletic",494,2018,0
2018,"regular",3,"AP Top 25",1,"Alabama","SEC",1517,2018,0
2018,"regular",3,"AP Top 25",16,"Mississippi State","SEC",654,2018,0
2018,"regular",3,"AP Top 25",2,"Clemson","ACC",1430,2018,0
2018,"regular",3,"AP Top 25",13,"Virginia Tech","ACC",794,2018,0
2018,"regular",3,"AP Top 25",21,"Miami","ACC",299,2018,0
2018,"regular",3,"AP Top 25",17,"Boise State","Mountain West",500,2018,0
2018,"regular",3,"AP Top 25",4,"Ohio State","Big Ten",1288,2018,0
2018,"regular",3,"AP Top 25",25,"Michigan State","Big Ten",104,2018,0
2018,"regular",3,"AP Top 25",19,"Michigan","Big Ten",385,2018,0
2018,"regular",3,"AP Top 25",11,"Penn State","Big Ten",836,2018,0
2018,"regular",3,"AP Top 25",6,"Wisconsin","Big Ten",1227,2018,0
2018,"regular",3,"AP Top 25",5,"Oklahoma","Big 12",1263,2018,0
2018,"regular",3,"FCS Coaches Poll",8,"Kennesaw State","Big South",473,2018,0
2018,"regular",3,"FCS Coaches Poll",23,"Austin Peay","OVC",80,2018,0
2018,"regular",3,"FCS Coaches Poll",14,"Elon","CAA",310,2018,0
2018,"regular",3,"FCS Coaches Poll",21,"Stony Brook","CAA",106,2018,0
2018,"regular",3,"FCS Coaches Poll",10,"Villanova","CAA",419,2018,0
2018,"regular",3,"FCS Coaches Poll",20,"Maine","CAA",171,2018,0
2018,"regular",3,"FCS Coaches Poll",2,"James Madison","CAA",620,2018,0
2018,"regular",3,"FCS Coaches Poll",17,"Central Arkansas","Southland",239,2018,0
2018,"regular",3,"FCS Coaches Poll",11,"Jacksonville State","OVC",362,2018,0
2018,"regular",3,"FCS Coaches Poll",4,"Sam Houston","Southland",540,2018,0
2018,"regular",3,"FCS Coaches Poll",6,"North Carolina A&T","MEAC",527,2018,0
2018,"regular",3,"FCS Coaches Poll",25,"Colgate","Patriot",32,2018,0
2018,"regular",3,"FCS Coaches Poll",5,"Eastern Washington","Big Sky",539,2018,0
2018,"regular",3,"FCS Coaches Poll",16,"Montana","Big Sky",259,2018,0
2018,"regular",3,"FCS Coaches Poll",22,"Northern Arizona","Big Sky",92,2018,0
2018,"regular",3,"FCS Coaches Poll",13,"Weber State","Big Sky",343,2018,0
2018,"regular",3,"FCS Coaches Poll",24,"South Dakota","MVFC",39,2018,0
2018,"regular",3,"FCS Coaches Poll",1,"North Dakota State","MVFC",645,2018,0
2018,"regular",3,"FCS Coaches Poll",3,"South Dakota State","MVFC",593,2018,0
2018,"regular",3,"FCS Coaches Poll",18,"Illinois State","MVFC",184,2018,0
2018,"regular",3,"FCS Coaches Poll",18,"Northern Iowa","MVFC",184,2018,0
2018,"regular",3,"FCS Coaches Poll",9,"Samford","Southern",423,2018,0
